Demultiplexer	Run_ID	ONT_Barcode	Genome_ID
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode01	VXO65G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode07	VXO65G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode03	VXO15G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode08	VXO15G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode04	VXO53G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode09	VXO53G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode05	VXO59G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode10	VXO59G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode06	VXO70G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode11	VXO70G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode02	VXO16G
guppy	20190411_1245_MN25256_FAH93041_8a9c834e	barcode12	VXO11G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode01	VXO65G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode07	VXO65G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode03	VXO15G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode08	VXO15G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode04	VXO53G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode09	VXO53G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode05	VXO59G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode10	VXO59G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode06	VXO70G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode11	VXO70G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode02	VXO16G
guppy	20190415_1209_MN25256_FAK06411_844e8015	barcode12	VXO11G
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode01	VXO65D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode07	VXO65D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode03	VXO15D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode08	VXO15D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode04	VXO53D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode09	VXO53D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode05	VXO59D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode10	VXO59D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode06	VXO70D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode11	VXO70D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode02	VXO16D
deepbinner	20190411_1245_MN25256_FAH93041_8a9c834e	barcode12	VXO11D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode01	VXO65D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode07	VXO65D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode03	VXO15D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode08	VXO15D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode04	VXO53D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode09	VXO53D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode05	VXO59D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode10	VXO59D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode06	VXO70D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode11	VXO70D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode02	VXO16D
deepbinner	20190415_1209_MN25256_FAK06411_844e8015	barcode12	VXO11D
